id,log_id,invoice_nr,isxml_invoice_nr,bill_year,bill_month,service_year,service_month,sold_to,bill_to,requester,product_number,product_code,iata_product_code,sis_product_cat_descript,distr_channel_code,distr_channel_descript,product_descript_n,billing_territory,country_code,country,office_owner,reach_code,reach_descript,itinerary_code,itinerary_descript,spec_pricing_rule1,spec_pricing_rule1_descript,doc_currency,net_amount_currency,operating_airline,prodnr_prefix,pricingkey_description,billable,acceptance_channel,marketing_carrier,quantity,unit_price_doc_currency,curr_rate
2,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,AU,Australia,,O,Global,,,,,EUR,0.72,BT,,,TRUE,,,1088,0.03,1
4,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,BE,Belgium,,T,Regional,,,,,EUR,5.22,BT,,,TRUE,,,7888,0.03,1
6,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,BE,Belgium,,T,Regional,,,,,EUR,0.9,BT,,,TRUE,,,1360,0.03,1
8,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,AR,Argentina,,O,Global,,,,,EUR,0.18,BT,,,TRUE,,,272,0.03,1
10,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,AU,Australia,,O,Global,,,,,EUR,0.09,BT,,,TRUE,,,136,0.03,1
12,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,AT,Austria,,T,Regional,,,,,EUR,4.68,BT,,,TRUE,,,7072,0.03,1
14,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,AT,Austria,,T,Regional,,,,,EUR,0.81,BT,,,TRUE,,,1224,0.03,1
16,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,28,Corporation w/ TA,Resource Planning Service,,AT,Austria,,T,Regional,,,,,EUR,0.27,BT,,,TRUE,,,408,0.03,1
18,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,BD,Bangladesh,,O,Global,,,,,EUR,-0.09,BT,,,TRUE,,,-136,0.03,1
20,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,BE,Belgium,,T,Regional,,,,,EUR,6.57,BT,,,TRUE,,,9928,0.03,1
22,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,KG,Kyrgyzstan,,O,Global,,,,,EUR,5.4,BT,,,TRUE,,,8160,0.03,1
24,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,KZ,Kazakhstan,,O,Global,,,,,EUR,15.93,BT,,,TRUE,,,24072,0.03,1
26,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,TJ,Tajikistan,,O,Global,,,,,EUR,0.9,BT,,,TRUE,,,1360,0.03,1
28,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,UZ,Uzbekistan,,O,Global,,,,,EUR,30.24,BT,,,TRUE,,,45696,0.03,1
30,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,HR,Croatia,,T,Regional,,,,,EUR,0.18,BT,,,TRUE,,,272,0.03,1
32,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,CM,Cameroon,,O,Global,,,,,EUR,0.18,BT,,,TRUE,,,272,0.03,1
34,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,GM,Gambia,,O,Global,,,,,EUR,-0.18,BT,,,TRUE,,,-272,0.03,1
36,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,BR,Brazil,,O,Global,,,,,EUR,0.54,BT,,,TRUE,,,816,0.03,1
38,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,BR,Brazil,,O,Global,,,,,EUR,-0.18,BT,,,TRUE,,,-272,0.03,1
40,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,BG,Bulgaria,,T,Regional,,,,,EUR,3.87,BT,,,TRUE,,,5848,0.03,1
42,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,CA,Canada,,O,Global,,,,,EUR,4.41,BT,,,TRUE,,,6664,0.03,1
44,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,CN,China,,O,Global,,,,,EUR,2.43,BT,,,TRUE,,,3672,0.03,1
46,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,CL,Chile,,O,Global,,,,,EUR,0.36,BT,,,TRUE,,,544,0.03,1
48,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,AZ,Azerbaijan,,O,Global,,,,,EUR,13.95,BT,,,TRUE,,,21080,0.03,1
86,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,DZ,Algeria,,O,Global,,,,,EUR,0.36,BT,,,TRUE,,,544,0.03,1
100,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,NL,Netherlands,,T,Regional,,,,,EUR,15.03,BT,,,TRUE,,,22712,0.03,1
102,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,NL,Netherlands,,T,Regional,,,,,EUR,0.09,BT,,,TRUE,,,136,0.03,1
104,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,KR,South Korea,,O,Global,,,,,EUR,0.36,BT,,,TRUE,,,544,0.03,1
106,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,KR,South Korea,,O,Global,,,,,EUR,0.45,BT,,,TRUE,,,680,0.03,1
108,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,JP,Japan,,O,Global,,,,,EUR,2.52,BT,,,TRUE,,,3808,0.03,1
110,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,IT,Italy,,T,Regional,,,,,EUR,219.24,BT,,,TRUE,,,331296,0.03,1
112,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,GH,Ghana,,O,Global,,,,,EUR,-0.18,BT,,,TRUE,,,-272,0.03,1
114,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,CY,Cyprus,,T,Regional,,,,,EUR,16.47,BT,,,TRUE,,,24888,0.03,1
116,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,GR,Greece,,T,Regional,,,,,EUR,74.88,BT,,,TRUE,,,113152,0.03,1
118,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,GR,Greece,,T,Regional,,,,,EUR,0.54,BT,,,TRUE,,,816,0.03,1
120,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,GR,Greece,,T,Regional,,,,,EUR,408.33,BT,,,TRUE,,,617032,0.03,1
122,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,HK,Hong Kong,,O,Global,,,,,EUR,3.33,BT,,,TRUE,,,5032,0.03,1
124,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,IT,Italy,,T,Regional,,,,,EUR,69.66,BT,,,TRUE,,,105264,0.03,1
126,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,IE,Ireland,,T,Regional,,,,,EUR,0.09,BT,,,TRUE,,,136,0.03,1
128,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,ID,Indonesia,,O,Global,,,,,EUR,0.18,BT,,,TRUE,,,272,0.03,1
130,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,IN,India,,O,Global,,,,,EUR,0.18,BT,,,TRUE,,,272,0.03,1
132,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,IN,India,,O,Global,,,,,EUR,-0.09,BT,,,TRUE,,,-136,0.03,1
134,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,BA,Bosnia-Herz.,,T,Regional,,,,,EUR,0.18,BT,,,TRUE,,,272,0.03,1
136,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,HU,Hungary,,T,Regional,,,,,EUR,2.34,BT,,,TRUE,,,3536,0.03,1
138,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,IT,Italy,,T,Regional,,,,,EUR,-167.58,BT,,,TRUE,,,-253232,0.03,1
140,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,IT,Italy,,T,Regional,,,,,EUR,1.08,BT,,,TRUE,,,1632,0.03,1
142,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,NL,Netherlands,,T,Regional,,,,,EUR,14.94,BT,,,TRUE,,,22576,0.03,1
144,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,HU,Hungary,,T,Regional,,,,,EUR,1.44,BT,,,TRUE,,,2176,0.03,1
146,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,21,Travel agency (TA),Resource Planning Service,,IL,Israel,,O,Global,,,,,EUR,-19.26,BT,,,TRUE,,,-29104,0.03,1
148,761,296475,,2013,4,2013,4,BT,BT,,2368,ARFUAMNB,GDF1,Distribution Fees,24,Online Travel Agency,Resource Planning Service,,IE,Ireland,,T,Regional,,,,,EUR,1.08,BT,,,TRUE,,,1632,0.03,1
